,title,runtime,primary_name,studio,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,month,roi,genre
129572,Storks,,,WB,12.100999999999999,6.5,1308.0,"Sep 23, 2016",70000000.0,183353431.0,9.0,1.6193347285714286,Family Animation Adventure Comedy
129577,Sausage Party,,,Sony,15.232000000000001,5.6,4237.0,"Aug 12, 2016",19000000.0,141344255.0,8.0,6.439171315789474,Animation Fantasy Adventure Comedy
129580,Office Christmas Party,,,Par.,10.729000000000001,5.6,1191.0,"Dec 9, 2016",45000000.0,91323299.0,12.0,1.0294066444444445,Comedy
129584,13 Hours: The Secret Soldiers of Benghazi,,,Par.,21.486,7.0,1573.0,"Jan 15, 2016",50000000.0,69411370.0,1.0,0.3882274,Action Drama History War Thriller
129587,"Hail, Caesar!",,,Uni.,12.312000000000001,5.9,2328.0,"Feb 5, 2016",22000000.0,64160680.0,2.0,1.9163945454545455,Mystery Drama Comedy
129595,Whiskey Tango Foxtrot,,,Par.,8.564,6.2,596.0,"Mar 4, 2016",35000000.0,25350747.0,3.0,-0.27569294285714285,War Comedy
129608,Swiss Army Man,,,A24,10.0,6.9,1789.0,"Jun 24, 2016",3000000.0,5837111.0,6.0,0.9457036666666667,Drama Comedy Romance Fantasy Adventure
129616,Operation Chromite,,,CJ,8.81,6.0,86.0,"Aug 5, 2016",12700000.0,49196532.0,8.0,2.8737426771653545,War Drama History Action
129672,Despicable Me 3,,,Uni.,16.407,6.3,4106.0,"Jun 30, 2017",75000000.0,1034727750.0,6.0,12.79637,Animation Action Comedy Adventure Family
129673,Pirates of the Caribbean: Dead Men Tell No Tales,,,BV,28.101,6.6,6931.0,"May 26, 2017",230000000.0,788241137.0,5.0,2.4271353782608696,Comedy Fantasy Adventure Action
129684,A Bad Moms Christmas,,,STX,16.604,6.3,1044.0,"Nov 1, 2017",28000000.0,127710550.0,11.0,3.5610910714285713,Comedy
129688,Jigsaw,,,LGF,17.398,6.1,1887.0,"Oct 27, 2017",10000000.0,102445196.0,10.0,9.2445196,Crime Horror Thriller Mystery
129696,mother!,,,Par.,15.227,7.0,3458.0,"Sep 15, 2017",30000000.0,42531076.0,9.0,0.41770253333333335,Mystery Horror Drama
129709,Battle of the Sexes,,,FoxS,0.6,5.5,4.0,"Sep 22, 2017",25000000.0,18445379.0,9.0,-0.26218484,Comedy
129759,Avengers: Infinity War,,,BV,80.773,8.3,13948.0,"Apr 27, 2018",300000000.0,2048134200.0,4.0,5.827114,Fantasy Adventure Action
129768,Maze Runner: The Death Cure,,,Fox,23.166,7.0,3894.0,"Jan 26, 2018",61000000.0,265878536.0,1.0,3.358664524590164,Sci-Fi Action
129770,Smallfoot,,,WB,26.230999999999998,6.6,600.0,"Sep 28, 2018",80000000.0,213691277.0,9.0,1.6711409625,Animation Fantasy Family Adventure
129772,The Nutcracker and the Four Realms,,,BV,26.235,6.0,909.0,"Nov 2, 2018",132900000.0,170293899.0,11.0,0.281368690744921,Family Fantasy Adventure
129775,Game Night,,,WB (NL),19.459,6.9,2756.0,"Feb 23, 2018",37000000.0,117378084.0,2.0,2.1723806486486485,Mystery Crime Comedy
129777,I Feel Pretty,,,STX,16.298,6.4,1088.0,"Apr 20, 2018",32000000.0,91553797.0,4.0,1.86105615625,Comedy
129791,Winchester,,,LGF,12.44,5.7,884.0,"Feb 2, 2018",3500000.0,44378040.0,2.0,11.67944,Mystery Thriller Fantasy Horror
129812,Bilal: A New Breed of Hero,,,VE,2.707,6.8,54.0,"Feb 2, 2018",30000000.0,648599.0,2.0,-0.9783800333333333,Animation Adventure Action
129848,Toy Story,,,,28.005,7.9,10174.0,"Nov 22, 1995",30000000.0,364545516.0,11.0,11.1515172,Family Animation Comedy
